ticker,date,volume,rank_position
AAPL,2016-01-27,533478800,1
AAPL,2016-04-27,458408400,2
AAPL,2017-02-01,447940000,3
AAPL,2016-09-14,443554800,4
AAPL,2020-02-28,426510000,5
AMZN,2017-10-27,331300000,1
AMZN,2020-01-31,311346000,2
AMZN,2018-10-26,299276000,3
AMZN,2016-01-29,293552000,4
AMZN,2018-02-09,282830000,5
BAC,2016-02-11,375088700,1
BAC,2016-11-14,320959900,2
BAC,2016-11-09,319516900,3
BAC,2016-11-10,304986400,4
BAC,2017-03-21,259545800,5
CVX,2022-03-08,57231000,1
CVX,2022-09-16,43741600,2
CVX,2022-03-09,43430000,3
CVX,2019-04-12,42693700,4
CVX,2022-06-17,35575100,5
F,2022-01-04,311645200,1
F,2021-01-21,282394100,2
F,2021-05-27,278939100,3
F,2024-07-25,259484000,4
F,2022-01-05,253540000,5
JNJ,2023-08-21,151319500,1
JNJ,2023-08-23,119011400,2
JNJ,2023-08-15,88958100,3
JNJ,2023-08-16,85832700,4
JNJ,2023-08-17,70904200,5
JPM,2016-11-10,56192300,1
JPM,2021-03-19,54418800,2
JPM,2016-11-09,50948400,3
JPM,2020-03-12,49725200,4
JPM,2020-11-09,47792400,5
MSFT,2016-06-24,133503000,1
MSFT,2016-04-22,126834100,2
MSFT,2018-12-21,111242100,3
MSFT,2020-02-28,97012700,4
MSFT,2020-03-12,93226400,5
PFE,2016-04-05,299829377,1
PFE,2020-11-09,230153864,2
PFE,2021-11-05,173959100,3
PFE,2016-04-06,158517384,4
PFE,2023-12-13,158100700,5
T,2021-05-18,327097378,1
T,2018-06-13,258289495,2
T,2021-05-17,227010260,3
T,2022-01-26,188252808,4
T,2021-11-30,184492383,5
TSLA,2020-02-04,914082000,1
TSLA,2020-02-05,726357000,2
TSLA,2020-02-03,705975000,3
TSLA,2020-12-18,666378600,4
TSLA,2020-02-06,598212000,5
VZ,2023-07-17,97510600,1
VZ,2023-07-18,79722200,2
VZ,2022-03-18,70390600,3
VZ,2022-12-16,62763800,4
VZ,2023-07-19,61881000,5
WMT,2017-06-16,168699000,1
WMT,2018-02-20,156265500,2
WMT,2018-02-21,148511100,3
WMT,2022-05-17,132940200,4
WMT,2018-08-16,127893900,5
XOM,2021-03-19,84439400,1
XOM,2020-03-13,79891500,2
XOM,2020-11-09,76879400,3
XOM,2020-03-20,76534600,4
XOM,2020-03-09,72896300,5
